token,phonemes,ipa,syllables,stress,plosives,fricatives,energy,rhyme_family,archetype
Noise,N OY S E,nɔɪse,1,1,0,1,0.18,ise,Gatswaai
Nomad,N O M A D,nomad,2,10,1,0,0.15,mad,Gatswaai
Nominal,N O M I N A L,nominal,3,100,0,0,0.0,nal,Gatswaai
Nominate,N O M I N A T E,nominate,3,100,1,0,0.15,ate,Gatswaai
None,N O N E,none,1,1,0,0,0.1,one,Gatswaai
Nonsense,N O N S E N S E,nonsense,2,10,0,2,0.16,nse,Gatswaai
Noodle,N O O D L E,noodle,1,1,1,0,0.25,dle,Gatswaai
Noon,N O O N,noon,1,1,0,0,0.1,oon,Gatswaai
Normal,N O R M A L,normal,2,10,0,0,0.0,mal,Gatswaai
North,N O R T H,north,1,1,1,1,0.33,rth,Gatswaai
Nose,N O S E,nose,1,1,0,1,0.18,ose,Gatswaai
Notch,N O T K H,notkh,1,1,2,1,0.48,tch,Gatswaai
Note,N O T E,note,1,1,1,0,0.25,ote,Gatswaai
Nothing,N O T H I N G,nothinɡ,2,10,2,1,0.38,ing,Gatswaai
Notice,N O T I K E,notike,2,10,2,0,0.3,ice,Gatswaai
Notify,N O T I F Y,notifj,3,100,1,1,0.23,y,Gatswaai
Notorious,N O T O R I AW S,notoriaʊs,3,100,1,1,0.23,ous,Gatswaai
Noun,N AW N,naʊn,1,1,0,0,0.1,oun,Gatswaai
Nova,N O V A,nova,2,10,0,1,0.08,ova,Gatswaai
Novel,N O V E L,novel,2,10,0,1,0.08,vel,Gatswaai
Now,N AW,naʊ,1,1,0,0,0.1,now,Gatswaai
Nuclear,N U K L E A R,nuklear,2,10,1,0,0.15,ear,Gatswaai
Nude,N U D E,nude,1,1,1,0,0.25,ude,Gatswaai
Nuisance,N U I S A N K E,nuisanke,2,10,1,1,0.23,ance,Gatswaai
Null,N U L L,null,1,1,0,0,0.1,ull,Gatswaai
Number,N U M B E R,number,2,10,1,0,0.15,ber,Gatswaai
Numb,N U M B,numb,1,1,1,0,0.25,umb,Gatswaai
Nurse,N U R S E,nurse,1,1,0,1,0.18,rse,Gatswaai
Nurture,N U R T U R E,nurture,2,10,1,0,0.15,ure,Gatswaai
Nut,N U T,nut,1,1,1,0,0.25,nut,Gatswaai
Oaken,O A K E N,oaken,2,10,1,0,0.15,ken,Gatswaai
Oath,O A T H,oath,1,1,1,1,0.33,ath,Gatswaai
Obdurate,O B D U R A T E,obdurate,3,100,3,0,0.45,ate,Gatswaai
Obey,O B IY,obi,2,10,1,0,0.15,y,Gatswaai
Object,O B J E K T,objekt,2,10,3,0,0.45,ect,Gatswaai
Oblige,O B L I G E,obliɡe,2,10,2,0,0.3,ige,Gatswaai
Oblique,O B L I Q U E,oblique,2,10,1,0,0.15,que,Gatswaai
Oblivion,O B L I V I O N,oblivion,3,100,1,1,0.23,ion,Gatswaai
Obscene,O B S K E N E,obskene,2,10,2,1,0.38,ene,Gatswaai
Obscure,O B S K U R E,obskure,2,10,2,1,0.38,ure,Gatswaai
Observe,O B S E R V E,observe,2,10,1,2,0.31,rve,Gatswaai
Obsess,O B S E S S,obsess,2,10,1,3,0.39,ess,Gatswaai
Obsolete,O B S O L E T E,obsolete,3,100,2,1,0.38,ete,Gatswaai
Obstacle,O B S T A K L E,obstakle,2,10,3,1,0.53,cle,Gatswaai
Obstinate,O B S T I N A T E,obstinate,3,100,3,1,0.53,ate,Gatswaai
Obstruct,O B S T R U K T,obstrukt,2,10,4,1,0.68,uct,Gatswaai
Obtain,O B T EY N,obteɪn,2,10,2,0,0.3,ain,Gatswaai
Obtrusive,O B T R U S I V E,obtrusive,3,100,2,2,0.46,ive,Gatswaai
Occult,O K K U L T,okkult,2,10,3,0,0.45,ult,Gatswaai
Occupy,O K K U P Y,okkupj,3,100,3,0,0.45,y,Gatswaai
Ocean,O K E A N,okean,2,10,1,0,0.15,ean,Gatswaai
Odd,O D D,odd,1,1,2,0,0.4,odd,Gatswaai
Odor,O D O R,odor,2,10,1,0,0.15,dor,Gatswaai
Offend,O F F E N D,offend,2,10,1,2,0.31,end,Gatswaai
Office,O F F I K E,offike,2,10,1,2,0.31,ice,Gatswaai
Offset,O F F S E T,offset,2,10,1,3,0.39,set,Gatswaai
Ogle,O G L E,oɡle,1,1,1,0,0.25,gle,Gatswaai
Old,O L D,old,1,1,1,0,0.25,old,Gatswaai
Olive,O L I V E,olive,2,10,0,1,0.08,ive,Gatswaai
Omega,O M E G A,omeɡa,3,100,1,0,0.15,ega,Gatswaai
Omen,O M E N,omen,2,10,0,0,0.0,men,Gatswaai
Omit,O M I T,omit,2,10,1,0,0.15,mit,Gatswaai
Onion,O N I O N,onion,2,10,0,0,0.0,ion,Gatswaai
Only,O N L Y,onlj,2,10,0,0,0.0,y,Gatswaai
Onset,O N S E T,onset,2,10,1,1,0.23,set,Gatswaai
Onward,O N W A R D,onward,2,10,1,0,0.15,ard,Gatswaai
Opaque,O P A Q U E,opaque,2,10,1,0,0.15,que,Gatswaai
Open,O P E N,open,2,10,1,0,0.15,pen,Gatswaai
Operate,O P E R A T E,operate,3,100,2,0,0.3,ate,Gatswaai
Opinion,O P I N I O N,opinion,3,100,1,0,0.15,ion,Gatswaai
Opponent,O P P O N E N T,opponent,3,100,3,0,0.45,ent,Gatswaai
Oppose,O P P O S E,oppose,2,10,2,1,0.38,ose,Gatswaai
Opposite,O P P O S I T E,opposite,3,100,3,1,0.53,ite,Gatswaai
Oppress,O P P R E S S,oppress,2,10,2,2,0.46,ess,Gatswaai
Optimist,O P T I M I S T,optimist,3,100,3,1,0.53,ist,Gatswaai
Option,O P T I O N,option,2,10,2,0,0.3,tion,Gatswaai
Opulent,O P U L E N T,opulent,3,100,2,0,0.3,ent,Gatswaai
Oracle,O R A K L E,orakle,2,10,1,0,0.15,cle,Gatswaai
Oral,O R A L,oral,2,10,0,0,0.0,ral,Gatswaai
Orange,O R A N G E,oranɡe,2,10,1,0,0.15,nge,Gatswaai
Orate,O R A T E,orate,2,10,1,0,0.15,ate,Gatswaai
Orbit,O R B I T,orbit,2,10,2,0,0.3,bit,Gatswaai
Orchard,O R K H A R D,orkhard,2,10,2,1,0.38,ard,Gatswaai
Order,O R D E R,order,2,10,1,0,0.15,der,Gatswaai
Ordinance,O R D I N A N K E,ordinanke,3,100,2,0,0.3,ance,Gatswaai
Organ,O R G A N,orɡan,2,10,1,0,0.15,gan,Gatswaai
Organic,O R G A N I K,orɡanik,3,100,2,0,0.3,nic,Gatswaai
Orient,O R I E N T,orient,2,10,1,0,0.15,ent,Gatswaai
Origin,O R I G I N,oriɡin,3,100,1,0,0.15,gin,Gatswaai
Orion,O R I O N,orion,2,10,0,0,0.0,ion,Gatswaai
Ornament,O R N A M E N T,ornament,3,100,1,0,0.15,ent,Gatswaai
Orphan,O R P H A N,orphan,2,10,1,1,0.23,han,Gatswaai
Ostracize,O S T R A K I Z E,ostrakize,3,100,2,2,0.46,ize,Gatswaai
Other,O T H E R,other,2,10,1,1,0.23,her,Gatswaai
Otter,O T T E R,otter,2,10,2,0,0.3,ter,Gatswaai
Ouch,AW K H,aʊkh,1,1,1,1,0.33,uch,Gatswaai
Ought,AW G H T,aʊɡht,1,1,2,1,0.48,ght,Gatswaai
Ounce,AW N K E,aʊnke,1,1,1,0,0.25,nce,Gatswaai
Our,AW R,aʊr,1,1,0,0,0.1,our,Gatswaai
Out,AW T,aʊt,1,1,1,0,0.25,out,Gatswaai
Outcast,AW T K A S T,aʊtkast,2,10,3,1,0.53,ast,Gatswaai
Outcome,AW T K O M E,aʊtkome,2,10,2,0,0.3,ome,Gatswaai
Outcry,AW T K R Y,aʊtkrj,2,10,2,0,0.3,y,Gatswaai
Outer,AW T E R,aʊter,2,10,1,0,0.15,ter,Gatswaai
Outfit,AW T F I T,aʊtfit,2,10,2,1,0.38,fit,Gatswaai
Outflow,AW T F L AW,aʊtflaʊ,2,10,1,1,0.23,low,Gatswaai
Outgrow,AW T G R AW,aʊtɡraʊ,2,10,2,0,0.3,row,Gatswaai
Outlaw,AW T L A W,aʊtlaw,2,10,1,0,0.15,law,Gatswaai
Outline,AW T L I N E,aʊtline,2,10,1,0,0.15,ine,Gatswaai
Outlive,AW T L I V E,aʊtlive,2,10,1,1,0.23,ive,Gatswaai
Output,AW T P U T,aʊtput,2,10,3,0,0.45,put,Gatswaai
Outrage,AW T R A G E,aʊtraɡe,2,10,2,0,0.3,age,Gatswaai
Outreach,AW T R E A K H,aʊtreakh,2,10,2,1,0.38,ach,Gatswaai
Outrun,AW T R U N,aʊtrun,2,10,1,0,0.15,run,Gatswaai
Outset,AW T S E T,aʊtset,2,10,2,1,0.38,set,Gatswaai
Outside,AW T S I D E,aʊtside,2,10,2,1,0.38,ide,Gatswaai
Outsmart,AW T S M A R T,aʊtsmart,2,10,2,1,0.38,art,Gatswaai
Outsider,AW T S I D E R,aʊtsider,3,100,2,1,0.38,der,Gatswaai
Outskirt,AW T S K I R T,aʊtskirt,2,10,3,1,0.53,irt,Gatswaai
Outspan,AW T S P A N,aʊtspan,2,10,2,1,0.38,pan,Gatswaai
Outspoken,AW T S P O K E N,aʊtspoken,3,100,3,1,0.53,ken,Gatswaai
Outweigh,AW T W IY G H,aʊtwiɡh,2,10,2,1,0.38,igh,Gatswaai
Outwit,AW T W I T,aʊtwit,2,10,2,0,0.3,wit,Gatswaai
Oval,O V A L,oval,2,10,0,1,0.08,val,Gatswaai
Ovation,O V A T I O N,ovation,3,100,1,1,0.23,tion,Gatswaai
Oven,O V E N,oven,2,10,0,1,0.08,ven,Gatswaai
Over,O V E R,over,2,10,0,1,0.08,ver,Gatswaai
Overcast,O V E R K A S T,overkast,3,100,2,2,0.46,ast,Gatswaai
Overcome,O V E R K O M E,overkome,3,100,1,1,0.23,ome,Gatswaai
Overdo,O V E R D O,overdo,3,100,1,1,0.23,rdo,Gatswaai
Overflow,O V E R F L AW,overflaʊ,3,100,0,2,0.16,low,Gatswaai
Overhear,O V E R H E A R,overhear,3,100,0,2,0.16,ear,Gatswaai
Overlap,O V E R L A P,overlap,3,100,1,1,0.23,lap,Gatswaai
Overload,O V E R L O A D,overload,3,100,1,1,0.23,oad,Gatswaai
Overnight,O V E R N I G H T,overniɡht,3,100,2,2,0.46,ght,Gatswaai
Overpass,O V E R P A S S,overpass,3,100,1,3,0.39,ass,Gatswaai
Override,O V E R R I D E,override,3,100,1,1,0.23,ide,Gatswaai
Oversee,O V E R S E E,oversee,2,10,0,2,0.16,see,Gatswaai
Overshoot,O V E R SH O O T,overʃoot,3,100,1,3,0.39,oot,Gatswaai
Overstate,O V E R S T A T E,overstate,3,100,2,2,0.46,ate,Gatswaai
Overstride,O V E R S T R I D E,overstride,3,100,2,2,0.46,ide,Gatswaai
Overstuffed,O V E R S T U F F E D,overstuffed,4,1000,2,4,0.62,fed,Gatswaai
Overthrow,O V E R T H R AW,overthraʊ,3,100,1,2,0.31,row,Gatswaai
Overturn,O V E R T U R N,overturn,3,100,1,1,0.23,urn,Gatswaai
Overweight,O V E R W IY G H T,overwiɡht,3,100,2,2,0.46,ght,Gatswaai
Overwhelm,O V E R W H E L M,overwhelm,3,100,0,2,0.16,elm,Gatswaai
Overwork,O V E R W O R K,overwork,3,100,1,1,0.23,ork,Gatswaai
Ow,AW,aʊ,1,1,0,0,0.1,ow,Gatswaai
Owe,AW E,aʊe,1,1,0,0,0.1,owe,Gatswaai
Owl,AW L,aʊl,1,1,0,0,0.1,owl,Gatswaai
Own,AW N,aʊn,1,1,0,0,0.1,own,Gatswaai
Owner,AW N E R,aʊner,2,10,0,0,0.0,ner,Gatswaai
Oxide,O X I D E,oxide,2,10,1,0,0.15,ide,Gatswaai
Oxygen,O X Y G E N,oxjɡen,3,100,1,0,0.15,gen,Gatswaai
Oyster,OY S T E R,ɔɪster,2,10,1,1,0.23,ter,Gatswaai
Pace,P A K E,pake,1,1,2,0,0.4,ace,Gatswaai
Pacific,P A K I F I K,pakifik,3,100,3,1,0.53,fic,Gatswaai
Pack,P A K K,pakk,1,1,3,0,0.55,ack,Gatswaai
Package,P A K K A G E,pakkaɡe,2,10,4,0,0.6,age,Gatswaai
Pact,P A K T,pakt,1,1,3,0,0.55,act,Gatswaai
Pad,P A D,pad,1,1,2,0,0.4,pad,Gatswaai
Paddle,P A D D L E,paddle,1,1,3,0,0.55,dle,Gatswaai
Page,P A G E,paɡe,1,1,2,0,0.4,age,Gatswaai
Pagoda,P A G O D A,paɡoda,3,100,3,0,0.45,oda,Gatswaai
Pain,P EY N,peɪn,1,1,1,0,0.25,ain,Gatswaai
Paint,P EY N T,peɪnt,1,1,2,0,0.4,int,Gatswaai
Pair,P EY R,peɪr,1,1,1,0,0.25,air,Gatswaai
Palace,P A L A K E,palake,2,10,2,0,0.3,ace,Gatswaai
Pale,P A L E,pale,1,1,1,0,0.25,ale,Gatswaai
Palm,P A L M,palm,1,1,1,0,0.25,alm,Gatswaai
Pan,P A N,pan,1,1,1,0,0.25,pan,Gatswaai
Panda,P A N D A,panda,2,10,2,0,0.3,nda,Gatswaai
Pandemonium,P A N D E M O N I U M,pandemonium,4,1000,2,0,0.3,ium,Gatswaai
Pane,P A N E,pane,1,1,1,0,0.25,ane,Gatswaai
Panel,P A N E L,panel,2,10,1,0,0.15,nel,Gatswaai
Panic,P A N I K,panik,2,10,2,0,0.3,nic,Gatswaai
Pap,P A P,pap,1,1,2,0,0.4,pap,Gatswaai
Parable,P A R A B L E,parable,2,10,2,0,0.3,ble,Gatswaai
Paradigm,P A R A D I G M,paradiɡm,3,100,3,0,0.45,igm,Gatswaai
Paradox,P A R A D O X,paradox,3,100,2,0,0.3,dox,Gatswaai
Paragraph,P A R A G R A P H,paraɡraph,3,100,3,1,0.53,aph,Gatswaai
Parallel,P A R A L L E L,parallel,3,100,1,0,0.15,lel,Gatswaai
Paralyze,P A R A L Y Z E,paraljze,3,100,1,1,0.23,yze,Gatswaai
Parasite,P A R A S I T E,parasite,3,100,2,1,0.38,ite,Gatswaai
Parcel,P A R K E L,parkel,2,10,2,0,0.3,cel,Gatswaai
Parch,P A R K H,parkh,1,1,2,1,0.48,rch,Gatswaai
Pardon,P A R D O N,pardon,2,10,2,0,0.3,don,Gatswaai
Parent,P A R E N T,parent,2,10,2,0,0.3,ent,Gatswaai
Pariah,P A R I A H,pariah,2,10,1,1,0.23,iah,Gatswaai
Paris,P A R I S,paris,2,10,1,1,0.23,ris,Gatswaai
Park,P A R K,park,1,1,2,0,0.4,ark,Gatswaai
Parody,P A R O D Y,parodj,3,100,2,0,0.3,y,Gatswaai
Parsley,P A R S L IY,parsli,2,10,1,1,0.23,y,Gatswaai
Particle,P A R T I K L E,partikle,2,10,3,0,0.45,cle,Gatswaai
Partisan,P A R T I S A N,partisan,3,100,2,1,0.38,san,Gatswaai
Partner,P A R T N E R,partner,2,10,2,0,0.3,ner,Gatswaai
Pass,P A S S,pass,1,1,1,2,0.41,ass,Gatswaai
Passage,P A S S A G E,passaɡe,2,10,2,2,0.46,age,Gatswaai
Passion,P A S S I O N,passion,2,10,1,2,0.31,sion,Gatswaai
Past,P A S T,past,1,1,2,1,0.48,ast,Gatswaai
Paste,P A S T E,paste,1,1,2,1,0.48,ste,Gatswaai
Pasture,P A S T U R E,pasture,2,10,2,1,0.38,ure,Gatswaai
Patch,P A T K H,patkh,1,1,3,1,0.63,tch,Gatswaai
Path,P A T H,path,1,1,2,1,0.48,ath,Gatswaai
Patience,P A T I E N K E,patienke,2,10,3,0,0.45,ence,Gatswaai
Patient,P A T I E N T,patient,2,10,3,0,0.45,ent,Gatswaai
Patriarch,P A T R I A R K H,patriarkh,2,10,3,1,0.53,rch,Gatswaai
Patrol,P A T R O L,patrol,2,10,2,0,0.3,rol,Gatswaai
Patron,P A T R O N,patron,2,10,2,0,0.3,ron,Gatswaai
Pattern,P A T T E R N,pattern,2,10,3,0,0.45,ern,Gatswaai
Patter,P A T T E R,patter,2,10,3,0,0.45,ter,Gatswaai
Pause,P A U S E,pause,1,1,1,1,0.33,use,Gatswaai
Pave,P A V E,pave,1,1,1,1,0.33,ave,Gatswaai
Pavement,P A V E M E N T,pavement,3,100,2,1,0.38,ent,Gatswaai
Pavilion,P A V I L I O N,pavilion,3,100,1,1,0.23,ion,Gatswaai
Paw,P A W,paw,1,1,1,0,0.25,paw,Gatswaai
Pawn,P A W N,pawn,1,1,1,0,0.25,awn,Gatswaai
Pay,P EY,peɪ,1,1,1,0,0.25,y,Gatswaai
Peace,P E A K E,peake,1,1,2,0,0.4,ace,Gatswaai
Peach,P E A K H,peakh,1,1,2,1,0.48,ach,Gatswaai
Peak,P E A K,peak,1,1,2,0,0.4,eak,Gatswaai
Pearl,P E A R L,pearl,1,1,1,0,0.25,arl,Gatswaai
Peck,P E K K,pekk,1,1,3,0,0.55,eck,Gatswaai
Peculiar,P E K U L I A R,pekuliar,3,100,2,0,0.3,iar,Gatswaai
Pedestal,P E D E S T A L,pedestal,3,100,3,1,0.53,tal,Gatswaai
Pedestrian,P E D E S T R I A N,pedestrian,3,100,3,1,0.53,ian,Gatswaai
Peel,P E E L,peel,1,1,1,0,0.25,eel,Gatswaai
Peer,P E E R,peer,1,1,1,0,0.25,eer,Gatswaai
Penalty,P E N A L T Y,penaltj,3,100,2,0,0.3,y,Gatswaai
Penance,P E N A N K E,penanke,2,10,2,0,0.3,ance,Gatswaai
Penny,P E N N Y,pennj,2,10,1,0,0.15,y,Gatswaai
People,P E O P L E,people,1,1,2,0,0.4,ple,Gatswaai
Pep,P E P,pep,1,1,2,0,0.4,pep,Gatswaai
Per,P E R,per,1,1,1,0,0.25,per,Gatswaai
Perceive,P E R K IY V E,perkive,2,10,2,1,0.38,ive,Gatswaai
Perception,P E R K E P T I O N,perkeption,3,100,4,0,0.6,tion,Gatswaai
Perch,P E R K H,perkh,1,1,2,1,0.48,rch,Gatswaai
Peril,P E R I L,peril,2,10,1,0,0.15,ril,Gatswaai
Period,P E R I O D,period,2,10,2,0,0.3,iod,Gatswaai
Peripheral,P E R I P H E R A L,peripheral,4,1000,2,1,0.38,ral,Gatswaai
Perish,P E R I SH,periʃ,2,10,1,2,0.31,ish,Gatswaai
Permit,P E R M I T,permit,2,10,2,0,0.3,mit,Gatswaai
Person,P E R S O N,person,2,10,1,1,0.23,son,Gatswaai
Pesky,P E S K Y,peskj,2,10,2,1,0.38,y,Gatswaai
Pest,P E S T,pest,1,1,2,1,0.48,est,Gatswaai
Pet,P E T,pet,1,1,2,0,0.4,pet,Gatswaai
Petition,P E T I T I O N,petition,3,100,3,0,0.45,tion,Gatswaai
Petro,P E T R O,petro,2,10,2,0,0.3,tro,Gatswaai
Phantom,P H A N T O M,phantom,2,10,2,1,0.38,tom,Gatswaai
Phase,P H A S E,phase,1,1,1,2,0.41,ase,Gatswaai
Pheasant,P H E A S A N T,pheasant,2,10,2,2,0.46,ant,Gatswaai
Phobia,P H O B I A,phobia,2,10,2,1,0.38,bia,Gatswaai
Phone,P H O N E,phone,1,1,1,1,0.33,one,Gatswaai
Photo,P H O T O,photo,2,10,2,1,0.38,oto,Gatswaai
Phrase,P H R A S E,phrase,1,1,1,2,0.41,ase,Gatswaai
Physical,P H Y S I K A L,phjsikal,3,100,2,2,0.46,cal,Gatswaai
Physician,P H Y S I K I A N,phjsikian,3,100,2,2,0.46,ian,Gatswaai
Pick,P I K K,pikk,1,1,3,0,0.55,ick,Gatswaai
Picket,P I K K E T,pikket,2,10,4,0,0.6,ket,Gatswaai
Pickle,P I K K L E,pikkle,1,1,3,0,0.55,kle,Gatswaai
Picture,P I K T U R E,pikture,2,10,3,0,0.45,ure,Gatswaai
Pie,P I E,pie,1,1,1,0,0.25,pie,Gatswaai
Piece,P I E K E,pieke,1,1,2,0,0.4,ece,Gatswaai
Pier,P I E R,pier,1,1,1,0,0.25,ier,Gatswaai
Pig,P I G,piɡ,1,1,2,0,0.4,pig,Gatswaai
Pigeon,P I G E O N,piɡeon,2,10,2,0,0.3,eon,Gatswaai
Pike,P I K E,pike,1,1,2,0,0.4,ike,Gatswaai
Pile,P I L E,pile,1,1,1,0,0.25,ile,Gatswaai
Pill,P I L L,pill,1,1,1,0,0.25,ill,Gatswaai
Pillar,P I L L A R,pillar,2,10,1,0,0.15,lar,Gatswaai
Pillow,P I L L AW,pillaʊ,2,10,1,0,0.15,low,Gatswaai
Pilot,P I L O T,pilot,2,10,2,0,0.3,lot,Gatswaai
Pin,P I N,pin,1,1,1,0,0.25,pin,Gatswaai
Pinch,P I N K H,pinkh,1,1,2,1,0.48,nch,Gatswaai
Pine,P I N E,pine,1,1,1,0,0.25,ine,Gatswaai
Pink,P I N K,pink,1,1,2,0,0.4,ink,Gatswaai
Pint,P I N T,pint,1,1,2,0,0.4,int,Gatswaai
Pipe,P I P E,pipe,1,1,2,0,0.4,ipe,Gatswaai
Pirate,P I R A T E,pirate,2,10,2,0,0.3,ate,Gatswaai
Pistol,P I S T O L,pistol,2,10,2,1,0.38,tol,Gatswaai
Piston,P I S T O N,piston,2,10,2,1,0.38,ton,Gatswaai
Pit,P I T,pit,1,1,2,0,0.4,pit,Gatswaai
Pitch,P I T K H,pitkh,1,1,3,1,0.63,tch,Gatswaai
Pithecanthropus,P I T H E K A N T H R O P U S,pithekanthropus,5,10000,5,3,0.99,pus,Gatswaai
Pity,P I T Y,pitj,2,10,2,0,0.3,y,Gatswaai
Pivot,P I V O T,pivot,2,10,2,1,0.38,vot,Gatswaai
Placard,P L A K A R D,plakard,2,10,3,0,0.45,ard,Gatswaai
Place,P L A K E,plake,1,1,2,0,0.4,ace,Gatswaai
Placid,P L A K I D,plakid,2,10,3,0,0.45,cid,Gatswaai
Plague,P L A G U E,plaɡue,1,1,2,0,0.4,gue,Gatswaai
Plain,P L EY N,pleɪn,1,1,1,0,0.25,ain,Gatswaai
Plan,P L A N,plan,1,1,1,0,0.25,lan,Gatswaai
Plane,P L A N E,plane,1,1,1,0,0.25,ane,Gatswaai
Plant,P L A N T,plant,1,1,2,0,0.4,ant,Gatswaai
Plasma,P L A S M A,plasma,2,10,1,1,0.23,sma,Gatswaai
Plate,P L A T E,plate,1,1,2,0,0.4,ate,Gatswaai
Play,P L EY,pleɪ,1,1,1,0,0.25,y,Gatswaai
Please,P L E A S E,please,1,1,1,1,0.33,ase,Gatswaai
Pledge,P L E D G E,pledɡe,1,1,3,0,0.55,dge,Gatswaai
Plenty,P L E N T Y,plentj,2,10,2,0,0.3,y,Gatswaai
Plot,P L O T,plot,1,1,2,0,0.4,lot,Gatswaai
Plow,P L AW,plaʊ,1,1,1,0,0.25,low,Gatswaai
Plug,P L U G,pluɡ,1,1,2,0,0.4,lug,Gatswaai
Plum,P L U M,plum,1,1,1,0,0.25,lum,Gatswaai
Plumb,P L U M B,plumb,1,1,2,0,0.4,umb,Gatswaai
Plume,P L U M E,plume,1,1,1,0,0.25,ume,Gatswaai
Plump,P L U M P,plump,1,1,2,0,0.4,ump,Gatswaai
Plunder,P L U N D E R,plunder,2,10,2,0,0.3,der,Gatswaai
Plunge,P L U N G E,plunɡe,1,1,2,0,0.4,nge,Gatswaai
Plunk,P L U N K,plunk,1,1,2,0,0.4,unk,Gatswaai
Plus,P L U S,plus,1,1,1,1,0.33,lus,Gatswaai
Plutonium,P L U T O N I U M,plutonium,3,100,2,0,0.3,ium,Gatswaai
Pocket,P O K K E T,pokket,2,10,4,0,0.6,ket,Gatswaai
Poem,P O E M,poem,1,1,1,0,0.25,oem,Gatswaai
Poet,P O E T,poet,1,1,2,0,0.4,oet,Gatswaai
Poison,P OY S O N,pɔɪson,2,10,1,1,0.23,son,Gatswaai
Poke,P O K E,poke,1,1,2,0,0.4,oke,Gatswaai
Polar,P O L A R,polar,2,10,1,0,0.15,lar,Gatswaai
Pole,P O L E,pole,1,1,1,0,0.25,ole,Gatswaai
Police,P O L I K E,polike,2,10,2,0,0.3,ice,Gatswaai
Polish,P O L I SH,poliʃ,2,10,1,2,0.31,ish,Gatswaai
Polite,P O L I T E,polite,2,10,2,0,0.3,ite,Gatswaai
Political,P O L I T I K A L,politikal,4,1000,3,0,0.45,cal,Gatswaai
Politician,P O L I T I K I A N,politikian,4,1000,3,0,0.45,ian,Gatswaai
Poll,P O L L,poll,1,1,1,0,0.25,oll,Gatswaai
Pollute,P O L L U T E,pollute,2,10,2,0,0.3,ute,Gatswaai
Polo,P O L O,polo,2,10,1,0,0.15,olo,Gatswaai
Pond,P O N D,pond,1,1,2,0,0.4,ond,Gatswaai
Pool,P O O L,pool,1,1,1,0,0.25,ool,Gatswaai
Poor,P O O R,poor,1,1,1,0,0.25,oor,Gatswaai
Pop,P O P,pop,1,1,2,0,0.4,pop,Gatswaai
Pope,P O P E,pope,1,1,2,0,0.4,ope,Gatswaai
Popular,P O P U L A R,popular,3,100,2,0,0.3,lar,Gatswaai
Porch,P O R K H,porkh,1,1,2,1,0.48,rch,Gatswaai
Pork,P O R K,pork,1,1,2,0,0.4,ork,Gatswaai
Port,P O R T,port,1,1,2,0,0.4,ort,Gatswaai
Portal,P O R T A L,portal,2,10,2,0,0.3,tal,Gatswaai
Porter,P O R T E R,porter,2,10,2,0,0.3,ter,Gatswaai
Portion,P O R T I O N,portion,2,10,2,0,0.3,tion,Gatswaai
Portrait,P O R T R EY T,portreɪt,2,10,3,0,0.45,ait,Gatswaai
Pose,P O S E,pose,1,1,1,1,0.33,ose,Gatswaai
Position,P O S I T I O N,position,3,100,2,1,0.38,tion,Gatswaai
Positive,P O S I T I V E,positive,3,100,2,2,0.46,ive,Gatswaai
Possess,P O S S E S S,possess,2,10,1,4,0.47,ess,Gatswaai
Post,P O S T,post,1,1,2,1,0.48,ost,Gatswaai
Poster,P O S T E R,poster,2,10,2,1,0.38,ter,Gatswaai
Pot,P O T,pot,1,1,2,0,0.4,pot,Gatswaai
Potassium,P O T A S S I U M,potassium,3,100,2,2,0.46,ium,Gatswaai
Potential,P O T E N T I A L,potential,3,100,3,0,0.45,ial,Gatswaai
Pouch,P AW K H,paʊkh,1,1,2,1,0.48,uch,Gatswaai
Pound,P AW N D,paʊnd,1,1,2,0,0.4,und,Gatswaai
Pour,P AW R,paʊr,1,1,1,0,0.25,our,Gatswaai
Pout,P AW T,paʊt,1,1,2,0,0.4,out,Gatswaai
Powder,P AW D E R,paʊder,2,10,2,0,0.3,der,Gatswaai
Power,P AW E R,paʊer,2,10,1,0,0.15,wer,Gatswaai
Practice,P R A K T I K E,praktike,2,10,4,0,0.6,ice,Gatswaai
Prairie,P R EY R I E,preɪrie,1,1,1,0,0.25,rie,Gatswaai
Praise,P R EY S E,preɪse,1,1,1,1,0.33,ise,Gatswaai
Pray,P R EY,preɪ,1,1,1,0,0.25,y,Gatswaai
Preach,P R E A K H,preakh,1,1,2,1,0.48,ach,Gatswaai
Precarious,P R E K A R I AW S,prekariaʊs,3,100,2,1,0.38,ous,Gatswaai
Predict,P R E D I K T,predikt,2,10,4,0,0.6,ict,Gatswaai
Prefer,P R E F E R,prefer,2,10,1,1,0.23,fer,Gatswaai
Prefix,P R E F I X,prefix,2,10,1,1,0.23,fix,Gatswaai
Pregnant,P R E G N A N T,preɡnant,2,10,3,0,0.45,ant,Gatswaai
Prehistoric,P R E H I S T O R I K,prehistorik,4,1000,3,2,0.61,ric,Gatswaai
Prejudice,P R E J U D I K E,prejudike,3,100,3,0,0.45,ice,Gatswaai
Preliminary,P R E L I M I N A R Y,preliminarj,5,10000,1,0,0.15,y,Gatswaai
Premature,P R E M A T U R E,premature,3,100,2,0,0.3,ure,Gatswaai
Premier,P R E M I E R,premier,2,10,1,0,0.15,ier,Gatswaai
Premise,P R E M I S E,premise,2,10,1,1,0.23,ise,Gatswaai
Premium,P R E M I U M,premium,2,10,1,0,0.15,ium,Gatswaai
